City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,matara,5.9485,80.5353,24.01,87,42,2.99,LK,2023-04-07
1,ushuaia,-54.8,-68.3,4.81,81,75,5.14,AR,2023-04-07
2,butaritari,3.0707,172.7902,27.82,79,65,7.88,KI,2023-04-07
3,cumberland,35.0502,-78.8664,11.1,91,100,9.26,US,2023-04-07
4,mataura,-46.1927,168.8643,8.6,66,10,1.39,NZ,2023-04-07
5,luderitz,-26.6481,15.1594,16.03,71,0,7.36,NA,2023-04-07
6,jumla,29.2747,82.1838,5.64,51,0,2.28,NP,2023-04-07
7,bundaberg,-24.85,152.35,25.68,90,4,1.79,AU,2023-04-07
8,rikitea,-23.1203,-134.9692,25.0,71,69,6.01,PF,2023-04-07
9,kinkala,-4.3614,14.7644,22.15,96,98,0.5,CG,2023-04-07
10,provideniya,64.3833,-173.3,-20.06,80,48,1.63,RU,2023-04-07
11,bengkulu,-3.8004,102.2655,23.99,87,56,1.71,ID,2023-04-07
12,juneau,58.3019,-134.4197,5.68,95,100,1.54,US,2023-04-07
13,tapejara,-28.0681,-52.0139,19.21,92,97,2.98,BR,2023-04-07
14,iqaluit,63.7506,-68.5145,-19.15,71,20,11.83,CA,2023-04-07
15,arraial do cabo,-22.9661,-42.0278,25.92,78,75,3.6,BR,2023-04-07
16,dongsheng,39.8161,109.9776,0.03,44,19,3.47,CN,2023-04-07
17,fairbanks,64.8378,-147.7164,-8.84,56,0,0.0,US,2023-04-07
18,bredasdorp,-34.5322,20.0403,14.74,76,100,2.5,ZA,2023-04-07
19,soto la marina,23.7667,-98.2167,21.97,61,98,4.24,MX,2023-04-07
20,poum,-20.2333,164.0167,25.19,66,4,1.51,NC,2023-04-07
21,cape town,-33.9258,18.4232,15.62,83,75,4.12,ZA,2023-04-07
22,torbay,47.6666,-52.7314,4.04,87,75,9.26,CA,2023-04-07
23,saint-philippe,-21.3585,55.7679,24.77,86,81,3.33,RE,2023-04-07
24,kidal,18.4411,1.4078,28.1,15,24,2.82,ML,2023-04-07
25,kodiak,57.79,-152.4072,1.73,60,100,4.12,US,2023-04-07
26,key west,24.5557,-81.7826,28.33,62,0,6.17,US,2023-04-07
27,saskylakh,71.9167,114.0833,-21.26,86,99,4.93,RU,2023-04-07
28,nikolskoye,59.7035,30.7861,0.94,96,9,1.54,RU,2023-04-07
29,punta arenas,-53.15,-70.9167,4.95,88,96,7.87,CL,2023-04-07
30,sao francisco de paula,-29.4481,-50.5836,15.38,97,97,1.76,BR,2023-04-07
31,escanaba,45.7453,-87.0646,2.76,51,0,4.63,US,2023-04-07
32,east london,-33.0153,27.9116,20.61,74,88,4.82,ZA,2023-04-07
33,bilibino,68.0546,166.4372,-17.53,86,69,0.83,RU,2023-04-07
34,bluff,-46.6,168.3333,8.78,73,13,2.72,NZ,2023-04-07
35,kapaa,22.0752,-159.319,26.18,76,40,5.66,US,2023-04-07
36,atuona,-9.8,-139.0333,27.48,69,43,7.8,PF,2023-04-07
37,puerto ayora,-0.7393,-90.3518,28.98,87,99,1.79,EC,2023-04-07
38,mar del plata,-38.0023,-57.5575,20.01,85,0,6.71,AR,2023-04-07
39,lasa,46.6166,10.7002,7.49,96,100,1.47,IT,2023-04-07
40,roma,43.2128,-75.4557,6.09,47,0,8.75,US,2023-04-07
41,havelock,34.8791,-76.9013,16.0,75,100,10.29,US,2023-04-07
42,jamestown,42.097,-79.2353,5.85,48,0,5.66,US,2023-04-07
43,mwanza,-2.5167,32.9,22.03,88,40,1.54,TZ,2023-04-07
44,zhanaozen,43.3,52.8,11.19,82,97,6.54,KZ,2023-04-07
45,katsuura,35.1333,140.3,17.55,73,7,9.53,JP,2023-04-07
46,chuy,-33.6971,-53.4616,18.07,70,66,2.67,UY,2023-04-07
47,yulara,-25.2406,130.9889,16.6,51,5,3.87,AU,2023-04-07
48,beian,63.6559,9.5683,6.67,75,0,4.63,NO,2023-04-07
