City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cape town,-33.9258,18.4232,16.73,59,0,5.66,ZA,2023-04-11
1,portland,45.5234,-122.6762,8.03,90,75,4.92,US,2023-04-11
2,olafsvik,64.8945,-23.7142,2.94,95,100,3.3,IS,2023-04-11
3,sibolga,1.7427,98.7792,24.56,91,99,0.78,ID,2023-04-11
4,busselton,-33.65,115.3333,16.18,80,30,3.09,AU,2023-04-11
5,san quintin,30.4833,-115.95,17.88,66,4,4.67,MX,2023-04-11
6,andenes,69.3143,16.1194,4.99,70,0,2.06,NO,2023-04-11
7,coquimbo,-29.9533,-71.3436,16.85,88,100,4.63,CL,2023-04-11
8,nikolskoye,59.7035,30.7861,8.94,84,100,2.08,RU,2023-04-11
9,avarua,-21.2078,-159.775,24.03,78,20,1.54,CK,2023-04-11
10,souillac,-20.5167,57.5167,25.21,88,40,1.54,MU,2023-04-11
11,erdaojiang,41.7764,126.0319,0.94,30,0,4.91,CN,2023-04-11
12,vanimo,-2.6741,141.3028,24.74,89,100,1.43,PG,2023-04-11
13,lavrentiya,65.5833,-171.0,-25.28,94,26,2.79,RU,2023-04-11
14,rikitea,-23.1203,-134.9692,24.7,71,100,3.23,PF,2023-04-11
15,bredasdorp,-34.5322,20.0403,13.47,68,78,1.66,ZA,2023-04-11
16,la palma,33.8464,-118.0467,23.78,82,100,2.06,US,2023-04-11
17,albany,42.6001,-73.9662,21.36,21,100,2.24,US,2023-04-11
18,vardo,70.3705,31.1107,0.99,86,75,4.63,NO,2023-04-11
19,caravelas,-17.7125,-39.2481,23.42,95,96,3.43,BR,2023-04-11
20,victoria,22.2855,114.1577,24.55,90,25,0.89,HK,2023-04-11
21,codrington,-38.2667,141.9667,13.79,85,100,8.76,AU,2023-04-11
22,vaini,-21.2,-175.2,25.09,88,20,3.09,TO,2023-04-11
23,hilo,19.7297,-155.09,21.25,88,100,2.68,US,2023-04-11
24,hobart,-42.8794,147.3294,11.26,94,75,2.06,AU,2023-04-11
25,georgetown,5.4112,100.3354,28.96,89,20,1.54,MY,2023-04-11
26,xapuri,-10.6517,-68.5044,31.7,54,98,1.09,BR,2023-04-11
27,mataura,-46.1927,168.8643,11.38,98,100,1.32,NZ,2023-04-11
28,tambopata,-12.7333,-69.1833,30.94,58,40,1.54,PE,2023-04-11
29,khatanga,71.9667,102.5,-14.45,81,100,6.9,RU,2023-04-11
30,nuevo progreso,23.1667,-97.95,26.1,60,94,6.0,MX,2023-04-11
31,loukhi,66.0764,33.0381,1.49,93,84,3.66,RU,2023-04-11
32,guerrero negro,27.9769,-114.0611,15.89,78,1,5.58,MX,2023-04-11
